year_month,scope,product,wholesale,retail
2021-01,新能源汽车,17.5742,16.5216,15.5388
2021-01,燃油汽车,168.6423,186.3201,200.5012
2021-02,新能源汽车,11.2810,10.0474,9.7059
2021-02,燃油汽车,102.0222,103.7055,108.2630
2021-03,新能源汽车,19.2387,20.2061,18.5328
2021-03,燃油汽车,163.1731,163.8126,156.9112
2021-04,新能源汽车,18.8232,18.2794,16.1418
2021-04,燃油汽车,146.6840,147.4382,144.5297
2021-05,新能源汽车,19.2274,19.8055,18.7316
2021-05,燃油汽车,137.3466,141.2127,143.8375
2021-06,新能源汽车,22.4201,23.3633,22.9634
2021-06,燃油汽车,128.1118,130.2462,134.7753
2021-07,新能源汽车,26.1057,24.5595,22.2233
2021-07,燃油汽车,126.4552,126.3442,127.9695
2021-08,新能源汽车,29.9499,30.3869,24.9588
2021-08,燃油汽车,118.3180,120.6786,120.1130
2021-09,新能源汽车,33.9958,34.5397,33.3532
2021-09,燃油汽车,138.0626,139.1069,124.7929
2021-10,新能源汽车,37.3780,36.4815,31.7030
2021-10,燃油汽车,158.2881,161.0817,139.7024
2021-11,新能源汽车,43.5289,42.8661,37.8487
2021-11,燃油汽车,179.3787,172.1777,143.7980
2021-12,新能源汽车,48.5755,50.5115,47.4887
2021-12,燃油汽车,198.0010,186.1635,163.0350
2022-01,新能源汽车,43.2823,41.7581,35.2329
2022-01,燃油汽车,161.1381,174.0413,172.6108
2022-02,新能源汽车,34.9880,31.6976,27.2624
2022-02,燃油汽车,114.4224,115.0245,98.5010
2022-03,新能源汽车,43.7217,45.5157,44.4656
2022-03,燃油汽车,138.5293,135.8933,113.4608
2022-04,新能源汽车,29.3638,28.0403,28.2490
2022-04,燃油汽车,69.1923,66.7682,76.1387
2022-05,新能源汽车,43.2484,42.1196,35.9503
2022-05,燃油汽车,123.8314,116.9864,99.4516
2022-06,新能源汽车,56.4286,57.0116,53.1478
2022-06,燃油汽车,164.1021,161.8913,141.2306
2022-07,新能源汽车,57.9514,56.4104,48.6048
2022-07,燃油汽车,157.8668,156.9637,133.1795
2022-08,新能源汽车,65.3076,63.2363,52.9566
2022-08,燃油汽车,146.6157,146.4593,134.1044
